Risk factor,Linked disease,Age group,Year,Sex,Attributable deaths
Alcohol use,Lip and oral cavity cancer,15–24,2011,Females,0
Alcohol use,Lip and oral cavity cancer,15–24,2011,Males,0.471641453
Alcohol use,Lip and oral cavity cancer,15–24,2011,Persons,0.471641453
Alcohol use,Lip and oral cavity cancer,15–24,2015,Females,0
Alcohol use,Lip and oral cavity cancer,15–24,2015,Males,0
Alcohol use,Lip and oral cavity cancer,15–24,2015,Persons,0
Alcohol use,Lip and oral cavity cancer,15–24,2018,Females,0
Alcohol use,Lip and oral cavity cancer,15–24,2018,Males,0
Alcohol use,Lip and oral cavity cancer,15–24,2018,Persons,0
Alcohol use,Lip and oral cavity cancer,25–34,2003,Females,0.390742156
Alcohol use,Lip and oral cavity cancer,25–34,2003,Males,0.020165777
Alcohol use,Lip and oral cavity cancer,25–34,2003,Persons,0.410907932
Alcohol use,Lip and oral cavity cancer,25–34,2011,Females,0.475470573
Alcohol use,Lip and oral cavity cancer,25–34,2011,Males,1.293592274
Alcohol use,Lip and oral cavity cancer,25–34,2011,Persons,1.769062847
Alcohol use,Lip and oral cavity cancer,25–34,2015,Females,0.792767034
Alcohol use,Lip and oral cavity cancer,25–34,2015,Males,0.401660707
Alcohol use,Lip and oral cavity cancer,25–34,2015,Persons,1.194427741
Alcohol use,Lip and oral cavity cancer,25–34,2018,Females,0.000478897
Alcohol use,Lip and oral cavity cancer,25–34,2018,Males,1.072802423
Alcohol use,Lip and oral cavity cancer,25–34,2018,Persons,1.07328132
Alcohol use,Lip and oral cavity cancer,35–44,2003,Females,0.961350469
Alcohol use,Lip and oral cavity cancer,35–44,2003,Males,3.047156152
Alcohol use,Lip and oral cavity cancer,35–44,2003,Persons,4.008506621
Alcohol use,Lip and oral cavity cancer,35–44,2011,Females,0.436986943
Alcohol use,Lip and oral cavity cancer,35–44,2011,Males,3.649606035
Alcohol use,Lip and oral cavity cancer,35–44,2011,Persons,4.086592978
Alcohol use,Lip and oral cavity cancer,35–44,2015,Females,1.039529183
Alcohol use,Lip and oral cavity cancer,35–44,2015,Males,3.188904855
Alcohol use,Lip and oral cavity cancer,35–44,2015,Persons,4.228434038
Alcohol use,Lip and oral cavity cancer,35–44,2018,Females,0.724712275
Alcohol use,Lip and oral cavity cancer,35–44,2018,Males,1.23401172
Alcohol use,Lip and oral cavity cancer,35–44,2018,Persons,1.958723995
Alcohol use,Lip and oral cavity cancer,45–54,2003,Females,2.117927385
Alcohol use,Lip and oral cavity cancer,45–54,2003,Males,20.08847721
Alcohol use,Lip and oral cavity cancer,45–54,2003,Persons,22.20640459
Alcohol use,Lip and oral cavity cancer,45–54,2011,Females,1.217394164
Alcohol use,Lip and oral cavity cancer,45–54,2011,Males,12.92601025
Alcohol use,Lip and oral cavity cancer,45–54,2011,Persons,14.14340441
Alcohol use,Lip and oral cavity cancer,45–54,2015,Females,3.979987152
Alcohol use,Lip and oral cavity cancer,45–54,2015,Males,12.3924871
Alcohol use,Lip and oral cavity cancer,45–54,2015,Persons,16.37247425
Alcohol use,Lip and oral cavity cancer,45–54,2018,Females,3.401445096
Alcohol use,Lip and oral cavity cancer,45–54,2018,Males,9.148348391
Alcohol use,Lip and oral cavity cancer,45–54,2018,Persons,12.54979349
Alcohol use,Lip and oral cavity cancer,55–64,2003,Females,3.686378878
Alcohol use,Lip and oral cavity cancer,55–64,2003,Males,24.49995809
Alcohol use,Lip and oral cavity cancer,55–64,2003,Persons,28.18633697
Alcohol use,Lip and oral cavity cancer,55–64,2011,Females,4.663237801
Alcohol use,Lip and oral cavity cancer,55–64,2011,Males,37.78001178
Alcohol use,Lip and oral cavity cancer,55–64,2011,Persons,42.44324959
Alcohol use,Lip and oral cavity cancer,55–64,2015,Females,6.594804188
Alcohol use,Lip and oral cavity cancer,55–64,2015,Males,35.67805751
Alcohol use,Lip and oral cavity cancer,55–64,2015,Persons,42.2728617
Alcohol use,Lip and oral cavity cancer,55–64,2018,Females,6.40804501
Alcohol use,Lip and oral cavity cancer,55–64,2018,Males,47.07281604
Alcohol use,Lip and oral cavity cancer,55–64,2018,Persons,53.48086105
Alcohol use,Lip and oral cavity cancer,65–84,2003,Females,14.74440102
Alcohol use,Lip and oral cavity cancer,65–84,2003,Males,45.74975859
Alcohol use,Lip and oral cavity cancer,65–84,2003,Persons,60.49415962
Alcohol use,Lip and oral cavity cancer,65–84,2011,Females,14.90875171
Alcohol use,Lip and oral cavity cancer,65–84,2011,Males,47.50063859
Alcohol use,Lip and oral cavity cancer,65–84,2011,Persons,62.40939031
Alcohol use,Lip and oral cavity cancer,65–84,2015,Females,15.0482124
Alcohol use,Lip and oral cavity cancer,65–84,2015,Males,81.31761538
Alcohol use,Lip and oral cavity cancer,65–84,2015,Persons,96.36582778
Alcohol use,Lip and oral cavity cancer,65–84,2018,Females,20.30855366
Alcohol use,Lip and oral cavity cancer,65–84,2018,Males,62.25638604
Alcohol use,Lip and oral cavity cancer,65–84,2018,Persons,82.56493969
Alcohol use,Lip and oral cavity cancer,85+,2003,Females,5.128122932
Alcohol use,Lip and oral cavity cancer,85+,2003,Males,6.234996809
Alcohol use,Lip and oral cavity cancer,85+,2003,Persons,11.36311974
Alcohol use,Lip and oral cavity cancer,85+,2011,Females,9.144640677
Alcohol use,Lip and oral cavity cancer,85+,2011,Males,9.299076313
Alcohol use,Lip and oral cavity cancer,85+,2011,Persons,18.44371699
Alcohol use,Lip and oral cavity cancer,85+,2015,Females,9.770006373
Alcohol use,Lip and oral cavity cancer,85+,2015,Males,15.73126456
Alcohol use,Lip and oral cavity cancer,85+,2015,Persons,25.50127094
Alcohol use,Lip and oral cavity cancer,85+,2018,Females,9.82334303
Alcohol use,Lip and oral cavity cancer,85+,2018,Males,12.22300967
Alcohol use,Lip and oral cavity cancer,85+,2018,Persons,22.0463527
Alcohol use,Liver cancer,15–24,2003,Females,0.216026951
Alcohol use,Liver cancer,15–24,2003,Males,0.004714153
Alcohol use,Liver cancer,15–24,2003,Persons,0.220741103
Alcohol use,Liver cancer,15–24,2011,Females,0.211041337
Alcohol use,Liver cancer,15–24,2011,Males,0.497455178
Alcohol use,Liver cancer,15–24,2011,Persons,0.708496516
Alcohol use,Liver cancer,15–24,2015,Females,0.421113209
Alcohol use,Liver cancer,15–24,2015,Males,0
Alcohol use,Liver cancer,15–24,2015,Persons,0.421113209
Alcohol use,Liver cancer,15–24,2018,Females,0
Alcohol use,Liver cancer,15–24,2018,Males,0.004622549
Alcohol use,Liver cancer,15–24,2018,Persons,0.004622549
Alcohol use,Liver cancer,25–34,2003,Females,0.430873364
Alcohol use,Liver cancer,25–34,2003,Males,0.632184376
Alcohol use,Liver cancer,25–34,2003,Persons,1.06305774
Alcohol use,Liver cancer,25–34,2011,Females,0.006090678
Alcohol use,Liver cancer,25–34,2011,Males,1.586930265
Alcohol use,Liver cancer,25–34,2011,Persons,1.593020943
Alcohol use,Liver cancer,25–34,2015,Females,0.216468576
Alcohol use,Liver cancer,25–34,2015,Males,2.998049478
Alcohol use,Liver cancer,25–34,2015,Persons,3.214518054
Alcohol use,Liver cancer,25–34,2018,Females,0.632652224
Alcohol use,Liver cancer,25–34,2018,Males,2.04124242
Alcohol use,Liver cancer,25–34,2018,Persons,2.673894643
Alcohol use,Liver cancer,35–44,2003,Females,1.087112602
Alcohol use,Liver cancer,35–44,2003,Males,13.48650643
Alcohol use,Liver cancer,35–44,2003,Persons,14.57361903
Alcohol use,Liver cancer,35–44,2011,Females,1.484272661
Alcohol use,Liver cancer,35–44,2011,Males,11.11856664
Alcohol use,Liver cancer,35–44,2011,Persons,12.6028393
Alcohol use,Liver cancer,35–44,2015,Females,2.318553564
Alcohol use,Liver cancer,35–44,2015,Males,8.466116208
Alcohol use,Liver cancer,35–44,2015,Persons,10.78466977
Alcohol use,Liver cancer,35–44,2018,Females,2.313333052
Alcohol use,Liver cancer,35–44,2018,Males,4.966493408
Alcohol use,Liver cancer,35–44,2018,Persons,7.27982646
Alcohol use,Liver cancer,45–54,2003,Females,5.354454073
Alcohol use,Liver cancer,45–54,2003,Males,36.05962591
Alcohol use,Liver cancer,45–54,2003,Persons,41.41407998
Alcohol use,Liver cancer,45–54,2011,Females,5.358016371
Alcohol use,Liver cancer,45–54,2011,Males,63.15540813
Alcohol use,Liver cancer,45–54,2011,Persons,68.51342451
Alcohol use,Liver cancer,45–54,2015,Females,8.833052547
Alcohol use,Liver cancer,45–54,2015,Males,47.15775425
Alcohol use,Liver cancer,45–54,2015,Persons,55.99080679
Alcohol use,Liver cancer,45–54,2018,Females,8.671546009
Alcohol use,Liver cancer,45–54,2018,Males,46.29918762
Alcohol use,Liver cancer,45–54,2018,Persons,54.97073363
Alcohol use,Liver cancer,55–64,2003,Females,10.07350767
Alcohol use,Liver cancer,55–64,2003,Males,51.7809585
Alcohol use,Liver cancer,55–64,2003,Persons,61.85446617
Alcohol use,Liver cancer,55–64,2011,Females,12.07204769
Alcohol use,Liver cancer,55–64,2011,Males,124.2415002
Alcohol use,Liver cancer,55–64,2011,Persons,136.3135478
Alcohol use,Liver cancer,55–64,2015,Females,18.75248536
Alcohol use,Liver cancer,55–64,2015,Males,159.8694009
Alcohol use,Liver cancer,55–64,2015,Persons,178.6218863
Alcohol use,Liver cancer,55–64,2018,Females,26.73934356
Alcohol use,Liver cancer,55–64,2018,Males,168.4311431
Alcohol use,Liver cancer,55–64,2018,Persons,195.1704866
Alcohol use,Liver cancer,65–84,2003,Females,36.74999211
Alcohol use,Liver cancer,65–84,2003,Males,192.8309505
Alcohol use,Liver cancer,65–84,2003,Persons,229.5809426
Alcohol use,Liver cancer,65–84,2011,Females,56.02254717
Alcohol use,Liver cancer,65–84,2011,Males,259.6163518
Alcohol use,Liver cancer,65–84,2011,Persons,315.6388989
Alcohol use,Liver cancer,65–84,2015,Females,73.37415123
Alcohol use,Liver cancer,65–84,2015,Males,313.9558208
Alcohol use,Liver cancer,65–84,2015,Persons,387.3299721
Alcohol use,Liver cancer,65–84,2018,Females,76.96302021
Alcohol use,Liver cancer,65–84,2018,Males,401.3216381
Alcohol use,Liver cancer,65–84,2018,Persons,478.2846583
Alcohol use,Liver cancer,85+,2003,Females,9.901320398
Alcohol use,Liver cancer,85+,2003,Males,16.4343943
Alcohol use,Liver cancer,85+,2003,Persons,26.3357147
Alcohol use,Liver cancer,85+,2011,Females,21.43129795
Alcohol use,Liver cancer,85+,2011,Males,40.15675075
Alcohol use,Liver cancer,85+,2011,Persons,61.58804869
Alcohol use,Liver cancer,85+,2015,Females,24.13485115
Alcohol use,Liver cancer,85+,2015,Males,68.59582062
Alcohol use,Liver cancer,85+,2015,Persons,92.73067177
Alcohol use,Liver cancer,85+,2018,Females,29.45508928
Alcohol use,Liver cancer,85+,2018,Males,78.24514637
Alcohol use,Liver cancer,85+,2018,Persons,107.7002357
Alcohol use,Lower respiratory infections,15–24,2003,Females,0.076110861
Alcohol use,Lower respiratory infections,15–24,2003,Males,0.342814148
Alcohol use,Lower respiratory infections,15–24,2003,Persons,0.41892501
Alcohol use,Lower respiratory infections,15–24,2011,Females,0.074014067
Alcohol use,Lower respiratory infections,15–24,2011,Males,0.236493182
Alcohol use,Lower respiratory infections,15–24,2011,Persons,0.310507249
Alcohol use,Lower respiratory infections,15–24,2015,Females,0.122269165
Alcohol use,Lower respiratory infections,15–24,2015,Males,0.17230492
Alcohol use,Lower respiratory infections,15–24,2015,Persons,0.294574084
Alcohol use,Lower respiratory infections,15–24,2018,Females,0.060057026
Alcohol use,Lower respiratory infections,15–24,2018,Males,0.244871203
Alcohol use,Lower respiratory infections,15–24,2018,Persons,0.304928229
Alcohol use,Lower respiratory infections,25–34,2003,Females,0.213568524
Alcohol use,Lower respiratory infections,25–34,2003,Males,0.447585484
Alcohol use,Lower respiratory infections,25–34,2003,Persons,0.661154008
Alcohol use,Lower respiratory infections,25–34,2011,Females,0.409895151
Alcohol use,Lower respiratory infections,25–34,2011,Males,0.350952275
Alcohol use,Lower respiratory infections,25–34,2011,Persons,0.760847426
Alcohol use,Lower respiratory infections,25–34,2015,Females,0.260533861
Alcohol use,Lower respiratory infections,25–34,2015,Males,0.74454777
Alcohol use,Lower respiratory infections,25–34,2015,Persons,1.005081631
Alcohol use,Lower respiratory infections,25–34,2018,Females,0.171396573
Alcohol use,Lower respiratory infections,25–34,2018,Males,0.666865069
Alcohol use,Lower respiratory infections,25–34,2018,Persons,0.838261642
Alcohol use,Lower respiratory infections,35–44,2003,Females,0.920811562
Alcohol use,Lower respiratory infections,35–44,2003,Males,1.869982025
Alcohol use,Lower respiratory infections,35–44,2003,Persons,2.790793586
Alcohol use,Lower respiratory infections,35–44,2011,Females,0.654684374
Alcohol use,Lower respiratory infections,35–44,2011,Males,1.725162378
Alcohol use,Lower respiratory infections,35–44,2011,Persons,2.379846752
Alcohol use,Lower respiratory infections,35–44,2015,Females,0.949613707
Alcohol use,Lower respiratory infections,35–44,2015,Males,1.327388456
Alcohol use,Lower respiratory infections,35–44,2015,Persons,2.277002163
Alcohol use,Lower respiratory infections,35–44,2018,Females,0.997389996
Alcohol use,Lower respiratory infections,35–44,2018,Males,0.902312977
Alcohol use,Lower respiratory infections,35–44,2018,Persons,1.899702972
Alcohol use,Lower respiratory infections,45–54,2003,Females,0.849887435
Alcohol use,Lower respiratory infections,45–54,2003,Males,3.406953143
Alcohol use,Lower respiratory infections,45–54,2003,Persons,4.256840578
Alcohol use,Lower respiratory infections,45–54,2011,Females,1.201192762
Alcohol use,Lower respiratory infections,45–54,2011,Males,3.878993773
Alcohol use,Lower respiratory infections,45–54,2011,Persons,5.080186535
Alcohol use,Lower respiratory infections,45–54,2015,Females,1.962900286
Alcohol use,Lower respiratory infections,45–54,2015,Males,5.600814274
Alcohol use,Lower respiratory infections,45–54,2015,Persons,7.563714559
Alcohol use,Lower respiratory infections,45–54,2018,Females,2.082968675
Alcohol use,Lower respiratory infections,45–54,2018,Males,4.065478917
Alcohol use,Lower respiratory infections,45–54,2018,Persons,6.148447592
Alcohol use,Lower respiratory infections,55–64,2003,Females,3.271791975
Alcohol use,Lower respiratory infections,55–64,2003,Males,6.029198235
Alcohol use,Lower respiratory infections,55–64,2003,Persons,9.30099021
Alcohol use,Lower respiratory infections,55–64,2011,Females,2.911002362
Alcohol use,Lower respiratory infections,55–64,2011,Males,5.60168372
Alcohol use,Lower respiratory infections,55–64,2011,Persons,8.512686082
Alcohol use,Lower respiratory infections,55–64,2015,Females,3.92500068
Alcohol use,Lower respiratory infections,55–64,2015,Males,7.492911965
Alcohol use,Lower respiratory infections,55–64,2015,Persons,11.41791264
Alcohol use,Lower respiratory infections,55–64,2018,Females,5.0446154
Alcohol use,Lower respiratory infections,55–64,2018,Males,7.683114831
Alcohol use,Lower respiratory infections,55–64,2018,Persons,12.72773023
Alcohol use,Lower respiratory infections,65–84,2003,Females,45.65657751
Alcohol use,Lower respiratory infections,65–84,2003,Males,57.99734345
Alcohol use,Lower respiratory infections,65–84,2003,Persons,103.653921
Alcohol use,Lower respiratory infections,65–84,2011,Females,26.9433377
Alcohol use,Lower respiratory infections,65–84,2011,Males,34.89167411
Alcohol use,Lower respiratory infections,65–84,2011,Persons,61.8350118
Alcohol use,Lower respiratory infections,65–84,2015,Females,34.8079548
Alcohol use,Lower respiratory infections,65–84,2015,Males,45.75715318
Alcohol use,Lower respiratory infections,65–84,2015,Persons,80.56510798
Alcohol use,Lower respiratory infections,65–84,2018,Females,36.50870204
Alcohol use,Lower respiratory infections,65–84,2018,Males,42.71861608
Alcohol use,Lower respiratory infections,65–84,2018,Persons,79.22731812
Alcohol use,Lower respiratory infections,85+,2003,Females,101.5096821
Alcohol use,Lower respiratory infections,85+,2003,Males,48.69105358
Alcohol use,Lower respiratory infections,85+,2003,Persons,150.2007357
Alcohol use,Lower respiratory infections,85+,2011,Females,76.54468386
Alcohol use,Lower respiratory infections,85+,2011,Males,49.27966482
Alcohol use,Lower respiratory infections,85+,2011,Persons,125.8243487
Alcohol use,Lower respiratory infections,85+,2015,Females,119.6427315
Alcohol use,Lower respiratory infections,85+,2015,Males,66.65420379
Alcohol use,Lower respiratory infections,85+,2015,Persons,186.2969353
Alcohol use,Lower respiratory infections,85+,2018,Females,131.6493981
Alcohol use,Lower respiratory infections,85+,2018,Males,81.861607
Alcohol use,Lower respiratory infections,85+,2018,Persons,213.5110051
Alcohol use,Nasopharyngeal cancer,15–24,2003,Females,0
Alcohol use,Nasopharyngeal cancer,15–24,2003,Males,0.328128765
Alcohol use,Nasopharyngeal cancer,15–24,2003,Persons,0.328128765
Alcohol use,Nasopharyngeal cancer,15–24,2011,Females,0
Alcohol use,Nasopharyngeal cancer,15–24,2011,Males,0
Alcohol use,Nasopharyngeal cancer,15–24,2011,Persons,0
Alcohol use,Nasopharyngeal cancer,15–24,2015,Females,0
Alcohol use,Nasopharyngeal cancer,15–24,2015,Males,0.353828439
Alcohol use,Nasopharyngeal cancer,15–24,2015,Persons,0.353828439
Alcohol use,Nasopharyngeal cancer,15–24,2018,Females,0
Alcohol use,Nasopharyngeal cancer,15–24,2018,Males,0
Alcohol use,Nasopharyngeal cancer,15–24,2018,Persons,0
Alcohol use,Nasopharyngeal cancer,25–34,2003,Females,0.194391718
Alcohol use,Nasopharyngeal cancer,25–34,2003,Males,0.006094533
Alcohol use,Nasopharyngeal cancer,25–34,2003,Persons,0.20048625
Alcohol use,Nasopharyngeal cancer,25–34,2011,Females,0.001573355
Alcohol use,Nasopharyngeal cancer,25–34,2011,Males,0.417491715
Alcohol use,Nasopharyngeal cancer,25–34,2011,Persons,0.41906507
Alcohol use,Nasopharyngeal cancer,25–34,2015,Females,0.204081985
Alcohol use,Nasopharyngeal cancer,25–34,2015,Males,0.401195871
Alcohol use,Nasopharyngeal cancer,25–34,2015,Persons,0.605277856
Alcohol use,Nasopharyngeal cancer,25–34,2018,Females,0.001394484
Alcohol use,Nasopharyngeal cancer,25–34,2018,Males,0.332544342
Alcohol use,Nasopharyngeal cancer,25–34,2018,Persons,0.333938826
Alcohol use,Nasopharyngeal cancer,35–44,2003,Females,0.004380682
Alcohol use,Nasopharyngeal cancer,35–44,2003,Males,0.743960849
Alcohol use,Nasopharyngeal cancer,35–44,2003,Persons,0.748341531
Alcohol use,Nasopharyngeal cancer,35–44,2011,Females,0.217670277
Alcohol use,Nasopharyngeal cancer,35–44,2011,Males,2.28640675
Alcohol use,Nasopharyngeal cancer,35–44,2011,Persons,2.504077027
Alcohol use,Nasopharyngeal cancer,35–44,2015,Females,0.750350849
Alcohol use,Nasopharyngeal cancer,35–44,2015,Males,2.718755123
Alcohol use,Nasopharyngeal cancer,35–44,2015,Persons,3.469105972
Alcohol use,Nasopharyngeal cancer,35–44,2018,Females,0.527368279
Alcohol use,Nasopharyngeal cancer,35–44,2018,Males,0.427482986
Alcohol use,Nasopharyngeal cancer,35–44,2018,Persons,0.954851265
Alcohol use,Nasopharyngeal cancer,45–54,2003,Females,0.626741183
Alcohol use,Nasopharyngeal cancer,45–54,2003,Males,2.846116515
Alcohol use,Nasopharyngeal cancer,45–54,2003,Persons,3.472857698
Alcohol use,Nasopharyngeal cancer,45–54,2011,Females,1.029163722
Alcohol use,Nasopharyngeal cancer,45–54,2011,Males,2.303486465
Alcohol use,Nasopharyngeal cancer,45–54,2011,Persons,3.332650187
Alcohol use,Nasopharyngeal cancer,45–54,2015,Females,0.527106598
Alcohol use,Nasopharyngeal cancer,45–54,2015,Males,2.258911847
Alcohol use,Nasopharyngeal cancer,45–54,2015,Persons,2.786018445
Alcohol use,Nasopharyngeal cancer,45–54,2018,Females,0.003832446
Alcohol use,Nasopharyngeal cancer,45–54,2018,Males,3.821854638
Alcohol use,Nasopharyngeal cancer,45–54,2018,Persons,3.825687084
Alcohol use,Nasopharyngeal cancer,55–64,2003,Females,1.23714526
Alcohol use,Nasopharyngeal cancer,55–64,2003,Males,1.726467792
Alcohol use,Nasopharyngeal cancer,55–64,2003,Persons,2.963613052
Alcohol use,Nasopharyngeal cancer,55–64,2011,Females,0.888546365
Alcohol use,Nasopharyngeal cancer,55–64,2011,Males,3.962896903
Alcohol use,Nasopharyngeal cancer,55–64,2011,Persons,4.851443269
Alcohol use,Nasopharyngeal cancer,55–64,2015,Females,1.008376781
Alcohol use,Nasopharyngeal cancer,55–64,2015,Males,7.809003529
Alcohol use,Nasopharyngeal cancer,55–64,2015,Persons,8.81738031
Alcohol use,Nasopharyngeal cancer,55–64,2018,Females,0.844160846
Alcohol use,Nasopharyngeal cancer,55–64,2018,Males,8.284214087
Alcohol use,Nasopharyngeal cancer,55–64,2018,Persons,9.128374933
Alcohol use,Nasopharyngeal cancer,65–84,2003,Females,2.265467164
Alcohol use,Nasopharyngeal cancer,65–84,2003,Males,4.624246547
Alcohol use,Nasopharyngeal cancer,65–84,2003,Persons,6.889713711
Alcohol use,Nasopharyngeal cancer,65–84,2011,Females,0.98647811
Alcohol use,Nasopharyngeal cancer,65–84,2011,Males,4.853382902
Alcohol use,Nasopharyngeal cancer,65–84,2011,Persons,5.839861013
Alcohol use,Nasopharyngeal cancer,65–84,2015,Females,1.972541462
Alcohol use,Nasopharyngeal cancer,65–84,2015,Males,9.84292734
Alcohol use,Nasopharyngeal cancer,65–84,2015,Persons,11.8154688
Alcohol use,Nasopharyngeal cancer,65–84,2018,Females,2.454496991
Alcohol use,Nasopharyngeal cancer,65–84,2018,Males,8.776822528
Alcohol use,Nasopharyngeal cancer,65–84,2018,Persons,11.23131952
Alcohol use,Nasopharyngeal cancer,85+,2003,Females,0.004536896
Alcohol use,Nasopharyngeal cancer,85+,2003,Males,0.279617325
Alcohol use,Nasopharyngeal cancer,85+,2003,Persons,0.284154221
Alcohol use,Nasopharyngeal cancer,85+,2011,Females,0.387559948
Alcohol use,Nasopharyngeal cancer,85+,2011,Males,0.578587875
Alcohol use,Nasopharyngeal cancer,85+,2011,Persons,0.966147823
Alcohol use,Nasopharyngeal cancer,85+,2015,Females,0.697637701
Alcohol use,Nasopharyngeal cancer,85+,2015,Males,0.645971198
Alcohol use,Nasopharyngeal cancer,85+,2015,Persons,1.343608898
Alcohol use,Nasopharyngeal cancer,85+,2018,Females,0.368886164
Alcohol use,Nasopharyngeal cancer,85+,2018,Males,1.153988007
Alcohol use,Nasopharyngeal cancer,85+,2018,Persons,1.522874171
Alcohol use,Oesophageal cancer,15–24,2003,Females,0
Alcohol use,Oesophageal cancer,15–24,2003,Males,0.308338799
Alcohol use,Oesophageal cancer,15–24,2003,Persons,0.308338799
Alcohol use,Oesophageal cancer,15–24,2011,Females,0
Alcohol use,Oesophageal cancer,15–24,2011,Males,0
Alcohol use,Oesophageal cancer,15–24,2011,Persons,0
Alcohol use,Oesophageal cancer,15–24,2015,Females,0
Alcohol use,Oesophageal cancer,15–24,2015,Males,0
Alcohol use,Oesophageal cancer,15–24,2015,Persons,0
Alcohol use,Oesophageal cancer,15–24,2018,Females,0
Alcohol use,Oesophageal cancer,15–24,2018,Males,0
Alcohol use,Oesophageal cancer,15–24,2018,Persons,0
Alcohol use,Oesophageal cancer,25–34,2003,Females,0.336256147
Alcohol use,Oesophageal cancer,25–34,2003,Males,0.288534706
Alcohol use,Oesophageal cancer,25–34,2003,Persons,0.624790853
Alcohol use,Oesophageal cancer,25–34,2011,Females,0.141843228
Alcohol use,Oesophageal cancer,25–34,2011,Males,0.787254121
Alcohol use,Oesophageal cancer,25–34,2011,Persons,0.929097349
Alcohol use,Oesophageal cancer,25–34,2015,Females,0.001428511
Alcohol use,Oesophageal cancer,25–34,2015,Males,0.0031319
Alcohol use,Oesophageal cancer,25–34,2015,Persons,0.004560411
Alcohol use,Oesophageal cancer,25–34,2018,Females,0.10713912
Alcohol use,Oesophageal cancer,25–34,2018,Males,0.647995817
Alcohol use,Oesophageal cancer,25–34,2018,Persons,0.755134937
Alcohol use,Oesophageal cancer,35–44,2003,Females,0.669233708
Alcohol use,Oesophageal cancer,35–44,2003,Males,4.771217741
Alcohol use,Oesophageal cancer,35–44,2003,Persons,5.440451449
Alcohol use,Oesophageal cancer,35–44,2011,Females,0.540488283
Alcohol use,Oesophageal cancer,35–44,2011,Males,3.454084438
Alcohol use,Oesophageal cancer,35–44,2011,Persons,3.994572721
Alcohol use,Oesophageal cancer,35–44,2015,Females,0.792007322
Alcohol use,Oesophageal cancer,35–44,2015,Males,3.090396134
Alcohol use,Oesophageal cancer,35–44,2015,Persons,3.882403456
Alcohol use,Oesophageal cancer,35–44,2018,Females,0.002306656
Alcohol use,Oesophageal cancer,35–44,2018,Males,3.356544082
Alcohol use,Oesophageal cancer,35–44,2018,Persons,3.358850739
Alcohol use,Oesophageal cancer,45–54,2003,Females,1.807657342
Alcohol use,Oesophageal cancer,45–54,2003,Males,14.52817184
Alcohol use,Oesophageal cancer,45–54,2003,Persons,16.33582918
Alcohol use,Oesophageal cancer,45–54,2011,Females,2.64121851
Alcohol use,Oesophageal cancer,45–54,2011,Males,19.45362949
Alcohol use,Oesophageal cancer,45–54,2011,Persons,22.094848
Alcohol use,Oesophageal cancer,45–54,2015,Females,3.177565852
Alcohol use,Oesophageal cancer,45–54,2015,Males,18.72612923
Alcohol use,Oesophageal cancer,45–54,2015,Persons,21.90369508
Alcohol use,Oesophageal cancer,45–54,2018,Females,2.165676153
Alcohol use,Oesophageal cancer,45–54,2018,Males,15.54642774
Alcohol use,Oesophageal cancer,45–54,2018,Persons,17.7121039
Alcohol use,Oesophageal cancer,55–64,2003,Females,4.700340335
Alcohol use,Oesophageal cancer,55–64,2003,Males,40.08702786
Alcohol use,Oesophageal cancer,55–64,2003,Persons,44.7873682
Alcohol use,Oesophageal cancer,55–64,2011,Females,5.18841122
Alcohol use,Oesophageal cancer,55–64,2011,Males,52.55567554
Alcohol use,Oesophageal cancer,55–64,2011,Persons,57.74408676
Alcohol use,Oesophageal cancer,55–64,2015,Females,5.967692185
Alcohol use,Oesophageal cancer,55–64,2015,Males,47.65768402
Alcohol use,Oesophageal cancer,55–64,2015,Persons,53.6253762
Alcohol use,Oesophageal cancer,55–64,2018,Females,5.754788579
Alcohol use,Oesophageal cancer,55–64,2018,Males,55.02900485
Alcohol use,Oesophageal cancer,55–64,2018,Persons,60.78379343
Alcohol use,Oesophageal cancer,65–84,2003,Females,24.36770736
Alcohol use,Oesophageal cancer,65–84,2003,Males,85.5239574
Alcohol use,Oesophageal cancer,65–84,2003,Persons,109.8916648
Alcohol use,Oesophageal cancer,65–84,2011,Females,24.9130044
Alcohol use,Oesophageal cancer,65–84,2011,Males,94.3624282
Alcohol use,Oesophageal cancer,65–84,2011,Persons,119.2754326
Alcohol use,Oesophageal cancer,65–84,2015,Females,27.20999112
Alcohol use,Oesophageal cancer,65–84,2015,Males,132.2351875
Alcohol use,Oesophageal cancer,65–84,2015,Persons,159.4451786
Alcohol use,Oesophageal cancer,65–84,2018,Females,26.69561583
Alcohol use,Oesophageal cancer,65–84,2018,Males,119.7434662
Alcohol use,Oesophageal cancer,65–84,2018,Persons,146.439082
Alcohol use,Oesophageal cancer,85+,2003,Females,9.541108904
Alcohol use,Oesophageal cancer,85+,2003,Males,9.4520312
Alcohol use,Oesophageal cancer,85+,2003,Persons,18.9931401
Alcohol use,Oesophageal cancer,85+,2011,Females,11.68005636
Alcohol use,Oesophageal cancer,85+,2011,Males,19.133383
Alcohol use,Oesophageal cancer,85+,2011,Persons,30.81343936
Alcohol use,Oesophageal cancer,85+,2015,Females,13.19093326
Alcohol use,Oesophageal cancer,85+,2015,Males,21.53948335
Alcohol use,Oesophageal cancer,85+,2015,Persons,34.7304166
Alcohol use,Oesophageal cancer,85+,2018,Females,14.341453
Alcohol use,Oesophageal cancer,85+,2018,Males,22.45404055
Alcohol use,Oesophageal cancer,85+,2018,Persons,36.79549355
