Risk factor,Linked disease,Year,Sex,Attributable deaths,Deaths,Percent deaths
Cannabis use,Drug use disorders (excluding alcohol),2015,Males,2.874495362,35.08226583,8.193585259
Cannabis use,Drug use disorders (excluding alcohol),2015,Persons,4.428062127,55.30345957,8.00684471
Cannabis use,Drug use disorders (excluding alcohol),2018,Females,0.949623863,12.29047072,7.726505227
Cannabis use,Drug use disorders (excluding alcohol),2018,Males,1.135490487,17.93661147,6.33057414
Cannabis use,Drug use disorders (excluding alcohol),2018,Persons,2.08511435,30.22708219,6.898166144
Cannabis use,Poisoning,2003,Females,2.60889285,254.1201882,1.026637383
Cannabis use,Poisoning,2003,Males,5.457875539,525.0070308,1.039581419
Cannabis use,Poisoning,2003,Persons,8.066768389,779.127219,1.035359591
Cannabis use,Poisoning,2011,Females,20.13927682,374.0146556,5.38462237
Cannabis use,Poisoning,2011,Males,44.9787368,835.0804613,5.386156051
Cannabis use,Poisoning,2011,Persons,65.11801362,1209.095117,5.385681631
Cannabis use,Poisoning,2015,Females,28.45145374,469.4741158,6.06028166
Cannabis use,Poisoning,2015,Males,60.27073384,994.770739,6.058756201
Cannabis use,Poisoning,2015,Persons,88.72218757,1464.244855,6.059245302
Cannabis use,Poisoning,2018,Females,52.16221521,502.2551112,10.38560167
Cannabis use,Poisoning,2018,Males,117.3891428,1128.784105,10.39960984
Cannabis use,Poisoning,2018,Persons,169.551358,1631.039216,10.39529622
Cannabis use,Road traffic injuries - motor vehicle occupants,2003,Females,1.373222591,369.7053754,0.37143701
Cannabis use,Road traffic injuries - motor vehicle occupants,2003,Males,8.997525751,819.4579355,1.097985066
Cannabis use,Road traffic injuries - motor vehicle occupants,2003,Persons,10.37074834,1189.163311,0.872104634
Cannabis use,Road traffic injuries - motor vehicle occupants,2011,Females,0.846101188,291.5852466,0.290172839
Cannabis use,Road traffic injuries - motor vehicle occupants,2011,Males,4.125340881,624.8626487,0.660199628
Cannabis use,Road traffic injuries - motor vehicle occupants,2011,Persons,4.971442069,916.4478953,0.5424686
Cannabis use,Road traffic injuries - motor vehicle occupants,2015,Females,0.637953614,283.2648692,0.22521452
Cannabis use,Road traffic injuries - motor vehicle occupants,2015,Males,3.697461409,581.6254828,0.635711728
Cannabis use,Road traffic injuries - motor vehicle occupants,2015,Persons,4.335415023,864.890352,0.50126759
Cannabis use,Road traffic injuries - motor vehicle occupants,2018,Females,0.552627998,233.4730904,0.236698798
Cannabis use,Road traffic injuries - motor vehicle occupants,2018,Males,3.527221936,554.0036703,0.636678442
Cannabis use,Road traffic injuries - motor vehicle occupants,2018,Persons,4.079849935,787.4767607,0.518091471
Cannabis use,Road traffic injuries - motorcyclists,2003,Females,0.091962654,14.64718204,0.627852193
Cannabis use,Road traffic injuries - motorcyclists,2003,Males,2.235582753,171.0135894,1.307254447
Cannabis use,Road traffic injuries - motorcyclists,2003,Persons,2.327545406,185.6607714,1.253654926
Cannabis use,Road traffic injuries - motorcyclists,2011,Females,0.048580733,15.37438928,0.315984798
Cannabis use,Road traffic injuries - motorcyclists,2011,Males,1.412701635,186.0215775,0.759428908
Cannabis use,Road traffic injuries - motorcyclists,2011,Persons,1.461282368,201.3959668,0.725576779
Cannabis use,Road traffic injuries - motorcyclists,2015,Females,0.038296626,16.36426945,0.234025885
Cannabis use,Road traffic injuries - motorcyclists,2015,Males,1.387315531,185.4503985,0.748079024
Cannabis use,Road traffic injuries - motorcyclists,2015,Persons,1.425612157,201.814668,0.706396701
Cannabis use,Road traffic injuries - motorcyclists,2018,Females,0.015079049,8.416366331,0.179163409
Cannabis use,Road traffic injuries - motorcyclists,2018,Males,1.204019849,180.8071875,0.665913709
Cannabis use,Road traffic injuries - motorcyclists,2018,Persons,1.219098898,189.2235538,0.644263821
Cannabis use,Schizophrenia,2003,Females,0.035424253,23.11610662,0.153244893
Cannabis use,Schizophrenia,2003,Males,0.126244205,13.40999024,0.941419066
Cannabis use,Schizophrenia,2003,Persons,0.161668458,36.52609686,0.442610822
Cannabis use,Schizophrenia,2011,Females,0.067383031,49.03531253,0.137417359
Cannabis use,Schizophrenia,2011,Males,0.335595865,32.1432372,1.04406368
Cannabis use,Schizophrenia,2011,Persons,0.402978897,81.17854973,0.496410564
Cannabis use,Schizophrenia,2015,Females,0.031833567,29.87663937,0.106550027
Cannabis use,Schizophrenia,2015,Males,0.093949318,19.78874879,0.474761286
Cannabis use,Schizophrenia,2015,Persons,0.125782885,49.66538816,0.253260651
Cannabis use,Schizophrenia,2018,Females,0.086168444,42.87666464,0.20096816
Cannabis use,Schizophrenia,2018,Males,0.342587061,29.69481082,1.153693361
Cannabis use,Schizophrenia,2018,Persons,0.428755505,72.57147546,0.590804448
Child abuse & neglect,Anxiety disorders,2003,Females,0.595317298,4.185327791,14.22391095
Child abuse & neglect,Anxiety disorders,2003,Males,0.169598217,2.083860074,8.138656677
Child abuse & neglect,Anxiety disorders,2003,Persons,0.764915515,6.269187864,12.20118987
Child abuse & neglect,Anxiety disorders,2011,Females,0.113400795,1.209988206,9.372057905
Child abuse & neglect,Anxiety disorders,2011,Males,0.303200894,3.122838277,9.709144931
Child abuse & neglect,Anxiety disorders,2011,Persons,0.41660169,4.332826483,9.615009768
Child abuse & neglect,Anxiety disorders,2015,Females,0.482788328,5.237412468,9.218069636
Child abuse & neglect,Anxiety disorders,2015,Males,0.361250224,2.092957474,17.26027538
Child abuse & neglect,Anxiety disorders,2015,Persons,0.844038552,7.330369942,11.51426952
Child abuse & neglect,Anxiety disorders,2018,Females,1.235271362,10.35170595,11.93302214
Child abuse & neglect,Anxiety disorders,2018,Males,0.134436562,2.121589698,6.336595738
Child abuse & neglect,Anxiety disorders,2018,Persons,1.369707925,12.47329564,10.9811229
Child abuse & neglect,Depressive disorders,2003,Females,2.875981939,35.00723562,8.215392871
Child abuse & neglect,Depressive disorders,2003,Males,1.116172243,18.06162147,6.17980088
Child abuse & neglect,Depressive disorders,2003,Persons,3.992154182,53.06885709,7.5225931
Child abuse & neglect,Depressive disorders,2011,Females,3.870186163,47.6987837,8.113804721
Child abuse & neglect,Depressive disorders,2011,Males,1.509676897,21.7535521,6.939909812
Child abuse & neglect,Depressive disorders,2011,Persons,5.37986306,69.4523358,7.746122572
Child abuse & neglect,Depressive disorders,2015,Females,3.531592421,49.52990899,7.130221907
Child abuse & neglect,Depressive disorders,2015,Males,1.524562794,22.78502542,6.691073483
Child abuse & neglect,Depressive disorders,2015,Persons,5.056155215,72.31493441,6.991854803
Child abuse & neglect,Depressive disorders,2018,Females,4.966748263,61.84709827,8.030689235
Child abuse & neglect,Depressive disorders,2018,Males,0.920979932,16.00827921,5.753147604
Child abuse & neglect,Depressive disorders,2018,Persons,5.887728195,77.85537749,7.562391174
Child abuse & neglect,Suicide and self-inflicted injuries,2003,Females,162.0902786,508.4549305,31.8789865
Child abuse & neglect,Suicide and self-inflicted injuries,2003,Males,401.4529067,1781.60779,22.53318093
Child abuse & neglect,Suicide and self-inflicted injuries,2003,Persons,563.5431854,2290.06272,24.60819874
Child abuse & neglect,Suicide and self-inflicted injuries,2011,Females,201.9890387,650.2963647,31.06107456
Child abuse & neglect,Suicide and self-inflicted injuries,2011,Males,436.9885429,1986.019389,22.00323649
Child abuse & neglect,Suicide and self-inflicted injuries,2011,Persons,638.9775816,2636.315753,24.2375209
Child abuse & neglect,Suicide and self-inflicted injuries,2015,Females,250.0105102,809.2806827,30.89292943
Child abuse & neglect,Suicide and self-inflicted injuries,2015,Males,528.3824745,2396.861499,22.04476457
Child abuse & neglect,Suicide and self-inflicted injuries,2015,Persons,778.3929847,3206.142182,24.27818046
Child abuse & neglect,Suicide and self-inflicted injuries,2018,Females,253.2711182,820.4927073,30.8681742
Child abuse & neglect,Suicide and self-inflicted injuries,2018,Males,552.0057122,2498.211127,22.09603929
Child abuse & neglect,Suicide and self-inflicted injuries,2018,Persons,805.2768304,3318.703835,24.26479947
Cocaine use,Drug use disorders (excluding alcohol),2003,Females,7.047380136,40.74145064,17.29781347
Cocaine use,Drug use disorders (excluding alcohol),2003,Males,9.02894355,62.52403364,14.44075666
Cocaine use,Drug use disorders (excluding alcohol),2003,Persons,16.07632369,103.2654843,15.56795458
Cocaine use,Drug use disorders (excluding alcohol),2011,Females,2.824372309,22.16720317,12.74122084
Cocaine use,Drug use disorders (excluding alcohol),2011,Males,7.093583806,56.39353542,12.57871803
Cocaine use,Drug use disorders (excluding alcohol),2011,Persons,9.917956115,78.56073858,12.62457087
Cocaine use,Drug use disorders (excluding alcohol),2015,Females,2.593988674,20.22119374,12.82806894
Cocaine use,Drug use disorders (excluding alcohol),2015,Males,4.309502135,35.08226583,12.28399031
Cocaine use,Drug use disorders (excluding alcohol),2015,Persons,6.903490809,55.30345957,12.48292758
Cocaine use,Drug use disorders (excluding alcohol),2018,Females,1.212662293,12.29047072,9.866687129
Cocaine use,Drug use disorders (excluding alcohol),2018,Males,1.710437261,17.93661147,9.536011099
Cocaine use,Drug use disorders (excluding alcohol),2018,Persons,2.923099553,30.22708219,9.670465495
Cocaine use,Poisoning,2003,Females,3.261116062,254.1201882,1.283296729
Cocaine use,Poisoning,2003,Males,6.822344424,525.0070308,1.299476773
Cocaine use,Poisoning,2003,Persons,10.08346049,779.127219,1.294199489
Cocaine use,Poisoning,2011,Females,4.19568267,374.0146556,1.121796327
Cocaine use,Poisoning,2011,Males,9.370570167,835.0804613,1.122115844
Cocaine use,Poisoning,2011,Persons,13.56625284,1209.095117,1.122017006
Cocaine use,Poisoning,2015,Females,10.73639764,469.4741158,2.28689874
Cocaine use,Poisoning,2015,Males,22.74367315,994.770739,2.286323095
Cocaine use,Poisoning,2015,Persons,33.48007078,1464.244855,2.286507661
Cocaine use,Poisoning,2018,Females,13.27765478,502.2551112,2.643607698
Cocaine use,Poisoning,2018,Males,29.88087272,1128.784105,2.647173413
Cocaine use,Poisoning,2018,Persons,43.1585275,1631.039216,2.646075402
Cocaine use,Road traffic injuries - motor vehicle occupants,2003,Females,1.566114077,369.7053754,0.423611389
Cocaine use,Road traffic injuries - motor vehicle occupants,2003,Males,10.25018571,819.4579355,1.250849527
Cocaine use,Road traffic injuries - motor vehicle occupants,2003,Persons,11.81629979,1189.163311,0.993665015
Cocaine use,Road traffic injuries - motor vehicle occupants,2011,Females,0.965339086,291.5852466,0.331065819
Cocaine use,Road traffic injuries - motor vehicle occupants,2011,Males,4.703969065,624.8626487,0.752800487
Cocaine use,Road traffic injuries - motor vehicle occupants,2011,Persons,5.669308151,916.4478953,0.618617619
Cocaine use,Road traffic injuries - motor vehicle occupants,2015,Females,0.86587697,283.2648692,0.3056775
Cocaine use,Road traffic injuries - motor vehicle occupants,2015,Males,5.010895646,581.6254828,0.86153303
Cocaine use,Road traffic injuries - motor vehicle occupants,2015,Persons,5.876772616,864.890352,0.67948181
Cocaine use,Road traffic injuries - motor vehicle occupants,2018,Females,0.750082989,233.4730904,0.32127171
Cocaine use,Road traffic injuries - motor vehicle occupants,2018,Males,4.780353985,554.0036703,0.862874064
Cocaine use,Road traffic injuries - motor vehicle occupants,2018,Persons,5.530436974,787.4767607,0.702298436
Cocaine use,Road traffic injuries - motorcyclists,2003,Females,0.104879015,14.64718204,0.716035441
Cocaine use,Road traffic injuries - motorcyclists,2003,Males,2.546538932,171.0135894,1.489085716
Cocaine use,Road traffic injuries - motorcyclists,2003,Persons,2.651417946,185.6607714,1.428098099
Cocaine use,Road traffic injuries - motorcyclists,2011,Females,0.055431268,15.37438928,0.360542893
Cocaine use,Road traffic injuries - motorcyclists,2011,Males,1.610884031,186.0215775,0.865966224
Cocaine use,Road traffic injuries - motorcyclists,2011,Persons,1.666315298,201.3959668,0.827382656
Cocaine use,Road traffic injuries - motorcyclists,2015,Females,0.05199026,16.36426945,0.317705966
Cocaine use,Road traffic injuries - motorcyclists,2015,Males,1.880160238,185.4503985,1.013834563
Cocaine use,Road traffic injuries - motorcyclists,2015,Persons,1.932150498,201.814668,0.957388537
Cocaine use,Road traffic injuries - motorcyclists,2018,Females,0.020472174,8.416366331,0.243242427
Cocaine use,Road traffic injuries - motorcyclists,2018,Males,1.631974222,180.8071875,0.902604728
Cocaine use,Road traffic injuries - motorcyclists,2018,Persons,1.652446396,189.2235538,0.873277329
Cocaine use,Suicide and self-inflicted injuries,2003,Females,16.79027307,508.4549305,3.302214624
Cocaine use,Suicide and self-inflicted injuries,2003,Males,121.2395026,1781.60779,6.805061319
Cocaine use,Suicide and self-inflicted injuries,2003,Persons,138.0297756,2290.06272,6.027336038
Cocaine use,Suicide and self-inflicted injuries,2011,Females,22.01612105,650.2963647,3.385551919
Cocaine use,Suicide and self-inflicted injuries,2011,Males,127.1069402,1986.019389,6.400085563
Cocaine use,Suicide and self-inflicted injuries,2011,Persons,149.1230612,2636.315753,5.656494713
Cocaine use,Suicide and self-inflicted injuries,2015,Females,25.16127871,809.2806827,3.109091722
Cocaine use,Suicide and self-inflicted injuries,2015,Males,153.9370957,2396.861499,6.422444342
Cocaine use,Suicide and self-inflicted injuries,2015,Persons,179.0983744,3206.142182,5.586102059
Cocaine use,Suicide and self-inflicted injuries,2018,Females,23.63670174,820.4927073,2.880793641
Cocaine use,Suicide and self-inflicted injuries,2018,Males,150.6208264,2498.211127,6.029147205
Cocaine use,Suicide and self-inflicted injuries,2018,Persons,174.2575281,3318.703835,5.250770686
Diet high in processed meat,Bowel cancer,2003,Females,46.84033739,2406.340362,1.946538325
Diet high in processed meat,Bowel cancer,2003,Males,55.45113929,2813.115315,1.971164815
Diet high in processed meat,Bowel cancer,2003,Persons,102.2914767,5219.455677,1.959811195
Diet high in processed meat,Bowel cancer,2011,Females,52.77203816,2466.908635,2.139197107
Diet high in processed meat,Bowel cancer,2011,Males,61.39656187,2883.288348,2.12939375
Diet high in processed meat,Bowel cancer,2011,Persons,114.1686,5350.196983,2.133913955
Diet high in processed meat,Bowel cancer,2015,Females,57.17596219,2619.63856,2.182589731
Diet high in processed meat,Bowel cancer,2015,Males,65.90158664,3022.742177,2.180192116
Diet high in processed meat,Bowel cancer,2015,Persons,123.0775488,5642.380737,2.181305278
Diet high in processed meat,Bowel cancer,2018,Females,57.73013521,2576.605826,2.240549743
Diet high in processed meat,Bowel cancer,2018,Males,66.45264108,2995.074589,2.218730756
Diet high in processed meat,Bowel cancer,2018,Persons,124.1827763,5571.680416,2.228820877
Diet high in processed meat,Coronary heart disease,2003,Females,216.7073218,13447.7547,1.611475868
Diet high in processed meat,Coronary heart disease,2003,Males,275.3633475,14658.5125,1.878521764
Diet high in processed meat,Coronary heart disease,2003,Persons,492.0706694,28106.2672,1.750750699
Diet high in processed meat,Coronary heart disease,2011,Females,210.9157573,11556.62019,1.825064368
Diet high in processed meat,Coronary heart disease,2011,Males,267.4101106,13135.19195,2.035829484
Diet high in processed meat,Coronary heart disease,2011,Persons,478.3258679,24691.81215,1.937184136
Diet high in processed meat,Coronary heart disease,2015,Females,196.3120647,10471.06768,1.874804658
Diet high in processed meat,Coronary heart disease,2015,Males,260.8976894,12543.39533,2.07996067
Diet high in processed meat,Coronary heart disease,2015,Persons,457.2097541,23014.46301,1.986619257
Diet high in processed meat,Coronary heart disease,2018,Females,177.8554044,9080.293224,1.958696707
Diet high in processed meat,Coronary heart disease,2018,Males,252.2617196,11955.12173,2.110072363
Diet high in processed meat,Coronary heart disease,2018,Persons,430.117124,21035.41496,2.044728497
Diet high in processed meat,Type 2 diabetes mellitus,2003,Females,65.61469033,1340.450986,4.894971247
Diet high in processed meat,Type 2 diabetes mellitus,2003,Males,75.47375782,1507.626495,5.006131031
Diet high in processed meat,Type 2 diabetes mellitus,2003,Persons,141.0884482,2848.077481,4.953813549
Diet high in processed meat,Type 2 diabetes mellitus,2011,Females,92.94970633,1694.206542,5.486326726
Diet high in processed meat,Type 2 diabetes mellitus,2011,Males,98.13263382,1790.816875,5.479769327
Diet high in processed meat,Type 2 diabetes mellitus,2011,Persons,191.0823402,3485.023418,5.482957136
Diet high in processed meat,Type 2 diabetes mellitus,2015,Females,76.40673034,1361.342068,5.612603336
Diet high in processed meat,Type 2 diabetes mellitus,2015,Males,88.33886888,1571.690841,5.620626307
Diet high in processed meat,Type 2 diabetes mellitus,2015,Persons,164.7455992,2933.032909,5.616902514
Diet high in processed meat,Type 2 diabetes mellitus,2018,Females,87.12624178,1510.401507,5.768415971
Diet high in processed meat,Type 2 diabetes mellitus,2018,Males,108.0520125,1883.435859,5.73696269
Diet high in processed meat,Type 2 diabetes mellitus,2018,Persons,195.1782543,3393.837366,5.750960734
Diet high in red meat,Bowel cancer,2003,Females,121.1417818,2406.340362,5.034274606
Diet high in red meat,Bowel cancer,2003,Males,144.5158238,2813.115315,5.137216487
Diet high in red meat,Bowel cancer,2003,Persons,265.6576055,5219.455677,5.089756901
Diet high in red meat,Bowel cancer,2011,Females,133.1149047,2466.908635,5.396020865
Diet high in red meat,Bowel cancer,2011,Males,158.1635994,2883.288348,5.48552834
Diet high in red meat,Bowel cancer,2011,Persons,291.2785041,5350.196983,5.444257567
Diet high in red meat,Bowel cancer,2015,Females,145.5200547,2619.63856,5.554966892
Diet high in red meat,Bowel cancer,2015,Males,170.3445808,3022.742177,5.63543203
Diet high in red meat,Bowel cancer,2015,Persons,315.8646355,5642.380737,5.598073761
Diet high in red meat,Bowel cancer,2018,Females,145.9139254,2576.605826,5.663028622
Diet high in red meat,Bowel cancer,2018,Males,171.3624652,2995.074589,5.721475713
Diet high in red meat,Bowel cancer,2018,Persons,317.2763906,5571.680416,5.694447042
Diet high in red meat,Breast cancer,2003,Females,83.49425646,2792.255687,2.990208127
Diet high in red meat,Breast cancer,2003,Males,0.296887992,10.19072571,2.913315504
Diet high in red meat,Breast cancer,2003,Persons,83.79114445,2802.446413,2.989928517
Diet high in red meat,Breast cancer,2011,Females,94.16783698,2994.936082,3.144235282
Diet high in red meat,Breast cancer,2011,Males,0.693204159,22.38770114,3.096361502
Diet high in red meat,Breast cancer,2011,Persons,94.86104114,3017.323783,3.143880072
Diet high in red meat,Breast cancer,2015,Females,95.17791188,2983.774187,3.189849698
Diet high in red meat,Breast cancer,2015,Males,0.846883906,27.29852309,3.102306681
Diet high in red meat,Breast cancer,2015,Persons,96.02479579,3011.07271,3.189056029
Diet high in red meat,Breast cancer,2018,Females,98.81397095,3075.531613,3.212907015
Diet high in red meat,Breast cancer,2018,Males,1.182158567,37.4649362,3.155373228
Diet high in red meat,Breast cancer,2018,Persons,99.99612951,3112.996549,3.212214595
Diet high in red meat,Coronary heart disease,2003,Females,517.8379524,13447.7547,3.85073913
Diet high in red meat,Coronary heart disease,2003,Males,645.3091774,14658.5125,4.40228282
Diet high in red meat,Coronary heart disease,2003,Persons,1163.14713,28106.2672,4.138390635
Diet high in red meat,Coronary heart disease,2011,Females,483.8446633,11556.62019,4.186731546
Diet high in red meat,Coronary heart disease,2011,Males,621.9236887,13135.19195,4.734789495
Diet high in red meat,Coronary heart disease,2011,Persons,1105.768352,24691.81215,4.478279461
Diet high in red meat,Coronary heart disease,2015,Females,456.0391033,10471.06768,4.355230213
Diet high in red meat,Coronary heart disease,2015,Males,610.6365383,12543.39533,4.868191765
Diet high in red meat,Coronary heart disease,2015,Persons,1066.675642,23014.46301,4.634805692
Diet high in red meat,Coronary heart disease,2018,Females,407.3681137,9080.293224,4.486288093
Diet high in red meat,Coronary heart disease,2018,Males,590.9075616,11955.12173,4.942714719
Diet high in red meat,Coronary heart disease,2018,Persons,998.2756753,21035.41496,4.745690434
Diet high in red meat,Stroke,2003,Females,395.6240447,7657.862052,5.166246688
Diet high in red meat,Stroke,2003,Males,287.7434338,5050.036627,5.697848453
Diet high in red meat,Stroke,2003,Persons,683.3674785,12707.89868,5.377501786
Diet high in red meat,Stroke,2011,Females,397.1211957,7171.401404,5.537567531
Diet high in red meat,Stroke,2011,Males,285.0542875,4691.930047,6.075416399
Diet high in red meat,Stroke,2011,Persons,682.1754832,11863.33145,5.750285963
Diet high in red meat,Stroke,2015,Females,379.4430109,6749.719088,5.621611891
Diet high in red meat,Stroke,2015,Males,278.0435113,4495.699846,6.184654688
Diet high in red meat,Stroke,2015,Persons,657.4865222,11245.41893,5.846705454
Diet high in red meat,Stroke,2018,Females,365.194514,6227.740505,5.863996961
Diet high in red meat,Stroke,2018,Males,281.9734007,4406.13939,6.399556975
Diet high in red meat,Stroke,2018,Persons,647.1679146,10633.8799,6.085905813
Diet high in red meat,Type 2 diabetes mellitus,2003,Females,99.07428273,1340.450986,7.391115661
Diet high in red meat,Type 2 diabetes mellitus,2003,Males,114.0830091,1507.626495,7.567060504
Diet high in red meat,Type 2 diabetes mellitus,2003,Persons,213.1572918,2848.077481,7.484251859
Diet high in red meat,Type 2 diabetes mellitus,2011,Females,134.2916127,1694.206542,7.926519544
Diet high in red meat,Type 2 diabetes mellitus,2011,Males,144.1878364,1790.816875,8.051512047
Diet high in red meat,Type 2 diabetes mellitus,2011,Persons,278.4794491,3485.023418,7.99074829
Diet high in red meat,Type 2 diabetes mellitus,2015,Females,110.3865885,1361.342068,8.108659173
Diet high in red meat,Type 2 diabetes mellitus,2015,Males,129.6933898,1571.690841,8.251838491
Diet high in red meat,Type 2 diabetes mellitus,2015,Persons,240.0799783,2933.032909,8.185383039
Diet high in red meat,Type 2 diabetes mellitus,2018,Females,125.1099397,1510.401507,8.283223971
Diet high in red meat,Type 2 diabetes mellitus,2018,Males,157.8777729,1883.435859,8.382434271
Diet high in red meat,Type 2 diabetes mellitus,2018,Persons,282.9877126,3393.837366,8.338281482
Diet high in sodium,Aortic aneurysm,2003,Females,24.1652089,529.0620612,4.567556564
Diet high in sodium,Aortic aneurysm,2003,Males,51.81975135,828.046455,6.258072967
Diet high in sodium,Aortic aneurysm,2003,Persons,75.98496026,1357.108516,5.599033486
Diet high in sodium,Aortic aneurysm,2011,Females,21.19292085,468.4110126,4.524428394
Diet high in sodium,Aortic aneurysm,2011,Males,43.03004535,689.303704,6.242537956
Diet high in sodium,Aortic aneurysm,2011,Persons,64.22296621,1157.714717,5.547391364
Diet high in sodium,Aortic aneurysm,2015,Females,24.60907272,451.5028553,5.450479976
Diet high in sodium,Aortic aneurysm,2015,Males,43.50657758,604.6450946,7.195390813
Diet high in sodium,Aortic aneurysm,2015,Persons,68.1156503,1056.14795,6.44944208
Diet high in sodium,Aortic aneurysm,2018,Females,16.51435606,418.5239203,3.945857157
Diet high in sodium,Aortic aneurysm,2018,Males,40.82451866,622.3505653,6.559730308
Diet high in sodium,Aortic aneurysm,2018,Persons,57.33887472,1040.874486,5.508721322
Diet high in sodium,Atrial fibrillation and flutter,2003,Females,27.93722611,609.7115923,4.582039519
Diet high in sodium,Atrial fibrillation and flutter,2003,Males,19.91284389,336.5688184,5.916425647
Diet high in sodium,Atrial fibrillation and flutter,2003,Persons,47.85007,946.2804107,5.056648057
Diet high in sodium,Atrial fibrillation and flutter,2011,Females,44.8114745,982.1153697,4.562750557
Diet high in sodium,Atrial fibrillation and flutter,2011,Males,31.00624383,548.4133039,5.653809564
Diet high in sodium,Atrial fibrillation and flutter,2011,Persons,75.81771833,1530.528674,4.953694736
Diet high in sodium,Atrial fibrillation and flutter,2015,Females,78.35882536,1438.270055,5.448130208
Diet high in sodium,Atrial fibrillation and flutter,2015,Males,52.80334788,791.2544181,6.673371633
Diet high in sodium,Atrial fibrillation and flutter,2015,Persons,131.1621732,2229.524474,5.882966292
Diet high in sodium,Atrial fibrillation and flutter,2018,Females,50.91146499,1431.336357,3.556918311
Diet high in sodium,Atrial fibrillation and flutter,2018,Males,51.8577814,876.7411289,5.914833888
Diet high in sodium,Atrial fibrillation and flutter,2018,Persons,102.7692464,2308.077486,4.452590825
Diet high in sodium,Cardiomyopathy,2003,Females,13.33311701,281.8229227,4.731026447
Diet high in sodium,Cardiomyopathy,2003,Males,41.35173356,590.1999849,7.006393531
Diet high in sodium,Cardiomyopathy,2003,Persons,54.68485057,872.0229076,6.271033718
Diet high in sodium,Cardiomyopathy,2011,Females,17.25191023,370.8045066,4.652562179
Diet high in sodium,Cardiomyopathy,2011,Males,48.70696783,704.1242417,6.917382608
Diet high in sodium,Cardiomyopathy,2011,Persons,65.95887807,1074.928748,6.136116293
Diet high in sodium,Cardiomyopathy,2015,Females,22.81644223,402.5332309,5.668213323
Diet high in sodium,Cardiomyopathy,2015,Males,61.17585862,784.9675552,7.793425118
Diet high in sodium,Cardiomyopathy,2015,Persons,83.99230084,1187.500786,7.073031178
Diet high in sodium,Cardiomyopathy,2018,Females,18.60551663,434.0957707,4.286039599
Diet high in sodium,Cardiomyopathy,2018,Males,51.5295499,738.6525459,6.976155458
Diet high in sodium,Cardiomyopathy,2018,Persons,70.13506653,1172.748317,5.980402234
Diet high in sodium,Chronic kidney disease,2003,Females,60.75333709,1058.054893,5.741983473
Diet high in sodium,Chronic kidney disease,2003,Males,70.73859846,981.6770373,7.205893158
Diet high in sodium,Chronic kidney disease,2003,Persons,131.4919355,2039.73193,6.446530233
Diet high in sodium,Chronic kidney disease,2011,Females,82.35375023,1441.416081,5.713391941
Diet high in sodium,Chronic kidney disease,2011,Males,93.79070484,1323.703586,7.085476372
Diet high in sodium,Chronic kidney disease,2011,Persons,176.1444551,2765.119668,6.370229004
Diet high in sodium,Chronic kidney disease,2015,Females,136.1721229,1982.598215,6.868367068
Diet high in sodium,Chronic kidney disease,2015,Males,161.9162091,1874.876983,8.636097756
Diet high in sodium,Chronic kidney disease,2015,Persons,298.088332,3857.475198,7.727550189
Diet high in sodium,Chronic kidney disease,2018,Females,78.08762781,1646.422219,4.74286771
Diet high in sodium,Chronic kidney disease,2018,Males,121.0998951,1584.4927,7.642818115
Diet high in sodium,Chronic kidney disease,2018,Persons,199.1875229,3230.91492,6.165050083
Diet high in sodium,Coronary heart disease,2003,Females,777.4303202,13447.7547,5.781116159
Diet high in sodium,Coronary heart disease,2003,Males,1148.565314,14658.5125,7.835483401
Diet high in sodium,Coronary heart disease,2003,Persons,1925.995634,28106.2672,6.852548651
Diet high in sodium,Coronary heart disease,2011,Females,665.1745179,11556.62019,5.75578765
Diet high in sodium,Coronary heart disease,2011,Males,1014.547344,13135.19195,7.723886695
Diet high in sodium,Coronary heart disease,2011,Persons,1679.721862,24691.81215,6.802748423
Diet high in sodium,Coronary heart disease,2015,Females,724.6800211,10471.06768,6.920784423
Diet high in sodium,Coronary heart disease,2015,Males,1147.221114,12543.39533,9.146017362
Diet high in sodium,Coronary heart disease,2015,Persons,1871.901136,23014.46301,8.133585975
Diet high in sodium,Coronary heart disease,2018,Females,434.2215913,9080.293224,4.782021689
Diet high in sodium,Coronary heart disease,2018,Males,972.0829529,11955.12173,8.131100415
Diet high in sodium,Coronary heart disease,2018,Persons,1406.304544,21035.41496,6.685413847
Diet high in sodium,Hypertensive heart disease,2003,Females,26.61180943,471.9533907,5.638652027
Diet high in sodium,Hypertensive heart disease,2003,Males,17.29629899,216.4039037,7.992600272
Diet high in sodium,Hypertensive heart disease,2003,Persons,43.90810842,688.3572943,6.378679907
Diet high in sodium,Hypertensive heart disease,2011,Females,32.70071925,583.0165676,5.608883361
Diet high in sodium,Hypertensive heart disease,2011,Males,22.04850858,294.851148,7.477843898
Diet high in sodium,Hypertensive heart disease,2011,Persons,54.74922783,877.8677156,6.236614795
Diet high in sodium,Hypertensive heart disease,2015,Females,54.55678957,821.631289,6.640057444
Diet high in sodium,Hypertensive heart disease,2015,Males,42.66065916,458.3630921,9.307175883
Diet high in sodium,Hypertensive heart disease,2015,Persons,97.21744873,1279.994381,7.595146523
Diet high in sodium,Hypertensive heart disease,2018,Females,34.02637579,726.4829665,4.683712814
Diet high in sodium,Hypertensive heart disease,2018,Males,34.91494586,418.5625149,8.34163228
