Sex,Year,Risk factor,Attributable deaths,Deaths,Percent total deaths,Attributable deaths ASR
Persons,2015,Overweight (including obesity),14810.79396,157285,9.416533016,0.508162982
Females,2018,Overweight (including obesity),7832.514206,76391,10.25318978,0.413060295
Males,2018,Overweight (including obesity),8585.229818,82909,10.35500346,0.619121074
Persons,2018,Overweight (including obesity),16417.74402,159300,10.30617955,0.512332513
Females,2003,Physical inactivity,4596.718217,63920,7.191361415,0.358827919
Males,2003,Physical inactivity,3699.002753,68074,5.433796682,0.464240872
Persons,2003,Physical inactivity,8295.72097,131994,6.284922776,0.405934034
Females,2011,Physical inactivity,4835.906285,71410,6.772029527,0.290168787
Males,2011,Physical inactivity,3816.086645,75374,5.062868688,0.363636096
Persons,2011,Physical inactivity,8651.992931,146784,5.894370592,0.324237695
Females,2015,Physical inactivity,4664.425358,76788,6.074419646,0.249124484
Males,2015,Physical inactivity,3734.218606,80497,4.638953758,0.30512079
Persons,2015,Physical inactivity,8398.643964,157285,5.339761556,0.275841574
Females,2018,Physical inactivity,4485.627323,76391,5.871931671,0.221251013
Males,2018,Physical inactivity,3767.404658,82909,4.544023759,0.273814804
Persons,2018,Physical inactivity,8253.031981,159300,5.180811037,0.246408283
Females,2003,Tobacco use,7092.509432,63920,11.09591588,0.616271491
Males,2003,Tobacco use,12341.99781,68074,18.13026679,1.408613538
Persons,2003,Tobacco use,19434.50725,131994,14.72378081,0.96049135
Females,2011,Tobacco use,7990.441525,71410,11.18952741,0.562458635
Males,2011,Tobacco use,11886.36994,75374,15.76985425,1.0699492
Persons,2011,Tobacco use,19876.81147,146784,13.54153822,0.786712067
Females,2015,Tobacco use,8782.177612,76788,11.43691412,0.554937232
Males,2015,Tobacco use,12147.81125,80497,15.09101115,0.96612551
Persons,2015,Tobacco use,20929.98886,157285,13.30704699,0.738086541
Females,2018,Tobacco use,8778.683279,76391,11.49177688,0.514506426
Males,2018,Tobacco use,11703.66858,82909,14.11628241,0.840150597
Persons,2018,Tobacco use,20482.35186,159300,12.85772245,0.662347186
Females,2003,Unsafe injecting practices,149.16255,63920,0.233358182,0.013729113
Males,2003,Unsafe injecting practices,346.3316483,68074,0.5087576,0.036716985
Persons,2003,Unsafe injecting practices,495.4941983,131994,0.375391456,0.024603668
Females,2011,Unsafe injecting practices,242.8803507,71410,0.340120922,0.018561953
Males,2011,Unsafe injecting practices,537.127112,75374,0.712615905,0.046555859
Persons,2011,Unsafe injecting practices,780.0074626,146784,0.531398151,0.031938454
Females,2015,Unsafe injecting practices,337.8208779,76788,0.439939675,0.02358609
Males,2015,Unsafe injecting practices,674.3285709,80497,0.837706462,0.052562987
Persons,2015,Unsafe injecting practices,1012.149449,157285,0.643513017,0.037353212
Females,2018,Unsafe injecting practices,400.6804986,76391,0.524512702,0.025570511
Males,2018,Unsafe injecting practices,794.1939465,82909,0.957910416,0.057123494
Persons,2018,Unsafe injecting practices,1194.874445,159300,0.75007812,0.040626328
Females,2003,Unsafe sex,261.7894288,63920,0.40955793,0.024512057
Males,2003,Unsafe sex,105.2390095,68074,0.154595014,0.010857668
Persons,2003,Unsafe sex,367.0284384,131994,0.278064487,0.018345444
Females,2011,Unsafe sex,251.074566,71410,0.351595807,0.019838467
Males,2011,Unsafe sex,96.16190689,75374,0.127579679,0.008500032
Persons,2011,Unsafe sex,347.2364729,146784,0.23656289,0.014515456
Females,2015,Unsafe sex,256.4134934,76788,0.333923912,0.01929287
Males,2015,Unsafe sex,61.32406237,80497,0.076181799,0.004927975
Persons,2015,Unsafe sex,317.7375557,157285,0.202013896,0.012391109
Females,2018,Unsafe sex,250.5469682,76391,0.327979694,0.017350765
Males,2018,Unsafe sex,57.64995825,82909,0.069534017,0.004315948
Persons,2018,Unsafe sex,308.1969264,159300,0.193469508,0.01107452
